Account,Transaction ID,Timestamp,Date,Delta,Amount,Cash Change Type,Currency,Contract
DEMO4543231,239056644870,06/29/2025 23:21:45,2025-06-30,95.21,"50,000.00", Fund Transaction,USD,
DEMO4543231,239056644875,06/30/2025 00:00:18,2025-06-30,-0.35,"49,999.65", Exchange Fee,USD,MESU5
DEMO4543231,239056644876,06/30/2025 00:00:18,2025-06-30,-0.19,"49,999.46", Clearing Fee,USD,MESU5
DEMO4543231,239056644877,06/30/2025 00:00:18,2025-06-30,-0.02,"49,999.44", Nfa Fee,USD,MESU5
DEMO4543231,239056644878,06/30/2025 00:00:18,2025-06-30,-0.35,"49,999.09", Commission,USD,MESU5
DEMO4543231,239056644885,06/30/2025 00:04:23,2025-06-30,-0.35,"49,998.74", Exchange Fee,USD,MESU5
DEMO4543231,239056644886,06/30/2025 00:04:23,2025-06-30,-0.19,"49,998.55", Clearing Fee,USD,MESU5
DEMO4543231,239056644887,06/30/2025 00:04:23,2025-06-30,-0.02,"49,998.53", Nfa Fee,USD,MESU5
DEMO4543231,239056644888,06/30/2025 00:04:23,2025-06-30,-0.35,"49,998.18", Commission,USD,MESU5
DEMO4543231,239056644891,06/30/2025 00:04:23,2025-06-30,1.25,"49,999.43", Trade Paired,USD,MESU5
DEMO4543231,239056644896,06/30/2025 00:15:03,2025-06-30,-0.35,"49,999.08", Exchange Fee,USD,MESU5
DEMO4543231,239056644897,06/30/2025 00:15:03,2025-06-30,-0.19,"49,998.89", Clearing Fee,USD,MESU5
DEMO4543231,239056644898,06/30/2025 00:15:03,2025-06-30,-0.02,"49,998.87", Nfa Fee,USD,MESU5
DEMO4543231,239056644899,06/30/2025 00:15:03,2025-06-30,-0.35,"49,998.52", Commission,USD,MESU5
DEMO4543231,239056644905,06/30/2025 00:39:18,2025-06-30,-0.35,"49,998.17", Exchange Fee,USD,MESU5
DEMO4543231,239056644906,06/30/2025 00:39:18,2025-06-30,-0.19,"49,997.98", Clearing Fee,USD,MESU5
