symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MESU5,-2,0,0.25,247302401042,247302401091,1,6279.75,6281.75,$10.00,07/03/2025 00:05:05,07/03/2025 00:26:39,21min 33sec
MESU5,-2,0,0.25,247302401162,247302401271,1,6280.25,6277.25,$(15.00),07/03/2025 01:00:20,07/03/2025 01:49:02,48min 42sec
MESU5,-2,0,0.25,247302401442,247302401511,1,6283.75,6281.25,$(12.50),07/03/2025 02:45:05,07/03/2025 03:00:12,15min 6sec
MESU5,-2,0,0.25,247302401522,247302401560,1,6282.00,6283.75,$8.75,07/03/2025 03:20:00,07/03/2025 03:27:14,7min 13sec
MESU5,-2,0,0.25,247302401671,247302401791,1,6281.50,6278.25,$(16.25),07/03/2025 04:05:02,07/03/2025 04:44:57,39min 54sec
MESU5,-2,0,0.25,247302401851,247302401911,1,6277.00,6278.50,$7.50,07/03/2025 05:05:03,07/03/2025 05:21:50,16min 47sec
MESU5,-2,0,0.25,247302402011,247302402051,1,6278.25,6276.00,$(11.25),07/03/2025 05:50:01,07/03/2025 05:58:04,8min 2sec
MESU5,-2,0,0.25,247302402191,247302402211,1,6277.75,6279.75,$10.00,07/03/2025 06:55:05,07/03/2025 07:11:51,16min 46sec
MESU5,-2,0,0.25,247302402262,247302402360,1,6279.75,6277.25,$(12.50),07/03/2025 07:20:02,07/03/2025 07:37:24,17min 21sec
MESU5,-2,0,0.25,247302402382,247302402440,1,6280.00,6277.75,$(11.25),07/03/2025 07:45:00,07/03/2025 07:58:23,13min 22sec
MESU5,-2,0,0.25,247302402462,247302402471,1,6280.00,6283.00,$15.00,07/03/2025 08:00:01,07/03/2025 08:04:16,4min 15sec
MESU5,-2,0,0.25,247302402562,247302402571,1,6293.25,6289.00,$(21.25),07/03/2025 08:30:03,07/03/2025 08:30:05,2sec
MESU5,-2,0,0.25,247302402682,247302402691,1,6286.00,6288.25,$11.25,07/03/2025 08:55:00,07/03/2025 09:02:55,7min 54sec
MESU5,-2,0,0.25,247302402702,247302402711,1,6289.00,6291.25,$11.25,07/03/2025 09:05:01,07/03/2025 09:06:37,1min 36sec
MESU5,-2,0,0.25,247302402762,247302402771,1,6292.50,6294.50,$10.00,07/03/2025 09:25:01,07/03/2025 09:28:07,3min 5sec
MESU5,-2,0,0.25,247302402922,247302402991,1,6319.50,6320.75,$6.25,07/03/2025 10:20:01,07/03/2025 10:37:05,17min 4sec
MESU5,-2,0,0.25,247302403002,247302403011,1,6322.25,6324.25,$10.00,07/03/2025 10:40:00,07/03/2025 10:41:33,1min 33sec
MESU5,-2,0,0.25,247302403062,247302403091,1,6324.75,6327.00,$11.25,07/03/2025 11:05:01,07/03/2025 11:07:05,2min 4sec
MESU5,-2,0,0.25,247302403122,247302403151,1,6327.75,6325.50,$(11.25),07/03/2025 11:15:01,07/03/2025 11:18:07,3min 5sec
MESU5,-2,0,0.25,247302403202,247302403211,1,6324.50,6326.25,$8.75,07/03/2025 11:30:04,07/03/2025 11:31:18,1min 14sec
MESU5,-2,0,0.25,247302403242,247302403251,1,6327.75,6329.50,$8.75,07/03/2025 11:40:04,07/03/2025 11:41:39,1min 34sec
MESU5,-2,0,0.25,247302403411,247302403451,1,6329.25,6331.50,$11.25,07/03/2025 12:35:01,07/03/2025 12:40:59,5min 57sec
MESU5,-2,0,0.25,247302403531,247302403551,1,6324.25,6321.50,$(13.75),07/03/2025 13:05:00,07/03/2025 13:11:21,6min 20sec
MESU5,-2,0,0.25,247302404092,247302404190,1,6319.50,6321.25,$8.75,07/03/2025 18:10:01,07/03/2025 18:37:49,27min 48sec
MESU5,-2,0,0.25,247302404281,247302404310,1,6318.75,6316.00,$(13.75),07/03/2025 19:05:01,07/03/2025 19:13:24,8min 22sec
MESU5,-2,0,0.25,247302404332,247302404470,1,6316.50,6313.25,$(16.25),07/03/2025 19:25:06,07/03/2025 20:07:30,42min 24sec
MESU5,-2,0,0.25,247302404492,247302404541,1,6314.75,6312.25,$(12.50),07/03/2025 20:15:00,07/03/2025 20:23:06,8min 5sec
MESU5,-2,0,0.25,247302404601,247302404670,1,6312.50,6314.50,$10.00,07/03/2025 20:50:03,07/03/2025 21:17:03,26min 59sec
MESU5,-2,0,0.25,247302404712,247302404770,1,6318.25,6315.00,$(16.25),07/03/2025 21:25:05,07/03/2025 21:56:14,31min 9sec
MESU5,-2,0,0.25,247302404821,247302404881,1,6311.25,6308.50,$(13.75),07/03/2025 22:25:03,07/03/2025 23:05:10,40min 6sec
MESU5,-2,0,0.25,247302404910,247302404981,1,6310.75,6308.00,$(13.75),07/03/2025 23:15:01,07/03/2025 23:40:47,25min 45sec
